"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAMM50",885.902840386424,-0.0580532603347885,0.0801868270787916,-0.72397502744117,0.469081066537586,0.766071082467603
"AP002990.1",129.476849382322,0.156063988728579,0.215623604898835,0.72377970307008,0.469200992076928,0.766114992038585
"DDX19B",545.155690119814,0.0772853323345048,0.106803761748667,0.723619946237233,0.469299092413082,0.766114992038585
"HMGB1P6",699.389208073798,-0.0647778553398927,0.0895148903092486,-0.723654524025037,0.469277858602963,0.766114992038585
"HMGN3-AS1",51.7238577348154,0.227809495975923,0.314830172365837,0.723594864698052,0.469314495021817,0.766114992038585
"PROCA1",49.21141322709,-0.231463628305038,0.320051515428214,-0.723207412392191,0.469552465541785,0.76633300089158
"UNG",429.002622717142,-0.0797407273518984,0.110272373601215,-0.723125155900516,0.469602995491423,0.76633300089158
"ZNF8",745.25699228818,-0.0635315113886078,0.0878465687898574,-0.723209935957602,0.469550915369617,0.76633300089158
"CAMK4",79.902949615095,-0.182717278227893,0.252766570236213,-0.722869634450245,0.469759980825828,0.766399323598407
"IL17RE",93.2203638505761,0.163036667224502,0.225560511809439,0.722806779948436,0.469798601343096,0.766399323598407
"LAT",39.5043267599424,0.25742527538192,0.356076563686914,0.722949223943494,0.469711080125619,0.766399323598407
"PPFIA2",53.1798550155083,-0.239025940580489,0.331052564294373,-0.72201809126585,0.470283354808163,0.767105775647397
"CETN2",624.359656161682,-0.0698958587613298,0.0968194377905722,-0.721919692536532,0.470343853212934,0.767120122031473
"NTPCR",777.347653715352,-0.0607931759465856,0.0842303716971585,-0.721748874208476,0.470448887502398,0.76720709429249
"DDX19A",1315.72590286838,0.0533030358015986,0.0738704378820531,0.721574655976807,0.470556025694217,0.767230690458285
"FAM102A",1323.22283862638,0.048986259181134,0.0678951192899245,0.721498978033366,0.470602569210455,0.767230690458285
"WDR53",96.7052554532447,-0.164335486805733,0.227777706447171,-0.72147309483884,0.47061848849908,0.767230690458285
"CWF19L1",351.689095147259,-0.0869270173253606,0.120599435886719,-0.720791243227807,0.471037963902244,0.767605271707263
"DDIT4-AS1",150.818230255491,0.343436044855635,0.476327554406677,0.721008141725972,0.470904505483822,0.767605271707263
"PHLDA2",856.855022320727,0.0618888846804951,0.0858657625468933,0.72076323373587,0.471055199763741,0.767605271707263
"SH3RF1",772.364121757991,0.0651375721183736,0.0903543694367663,0.720912253877878,0.470963503044775,0.767605271707263
"CCNI",7599.25304795057,-0.0330023535178666,0.0458070131583767,-0.720465082579422,0.471238690990801,0.767651345875111
"WASL-DT",44.6761806943334,0.250970764431842,0.348269816987064,0.72062163354559,0.471142339882195,0.767651345875111
"ZNF530",40.2370565667044,0.261418615197046,0.362805409565027,0.720547732489616,0.471187821790246,0.767651345875111
"ATP6V0E1",1247.98098808701,0.0549222466616031,0.0762441771175478,0.720346769261186,0.471311515505789,0.767661875664899
"PINX1",237.467612929616,-0.113323740155133,0.157331485590988,-0.720286468594966,0.471348634313354,0.767661875664899
"AC097448.1",112.241926063237,-0.160838029395395,0.223345758133065,-0.720130217559676,0.471444824037331,0.767702988650887
"CSGALNACT2",499.465546109739,-0.074864175013696,0.10396684942052,-0.720077365342575,0.471477362848749,0.767702988650887
"TMED5",2411.18338801469,0.0515016218758591,0.0715328675291975,0.719971443264702,0.471542578193169,0.767724924026341
"USP1",669.353606676476,-0.0778010231703666,0.108100593298033,-0.719709492767255,0.471703880299119,0.767903277594692
"BORCS5",265.459840564557,0.116494692824147,0.161907911519271,0.719512046885247,0.471825482290779,0.768016969912045
"ZNF224",331.16453384056,-0.0951119652068888,0.13222367955535,-0.719326262336194,0.471939918134665,0.768118973822293
"HENMT1",30.3374922476394,0.290065408653708,0.403326218640634,0.719183120877541,0.472028097973646,0.768178226350223
"TNRC18",5331.59727005132,0.0303915748449813,0.0422641007274615,0.71908722347981,0.472087178997975,0.768190115682491
"CLHC1",75.0281736383357,-0.19413144145897,0.270051763329591,-0.718867520305867,0.472222550361366,0.768241883740305
"TRIM37",1475.26896989291,-0.0456636349093407,0.0635186625404151,-0.718901076991132,0.472201872834824,0.768241883740305
"AL360181.3",101.361629745375,-0.198218020237465,0.276139422988876,-0.717818622534931,0.472869129363741,0.768394150323547
"ATP5IF1",1177.47961280353,0.0514494442251773,0.0717517079750089,0.717048355742236,0.473344260179893,0.768394150323547
"C8orf88",115.968794146987,-0.16025276688093,0.223372885156458,-0.717422648539834,0.473113348884498,0.768394150323547
"HTR7P1",73.3515990493083,0.183247079077532,0.255228606045796,0.717972338275641,0.472774342887472,0.768394150323547
"LCORL",494.913317632129,-0.0874011432891418,0.121655991649842,-0.71842859610816,0.472493060033861,0.768394150323547
"LSM1",447.966323412253,0.0881544124195628,0.12285315040694,0.717559233341265,0.473029101485238,0.768394150323547
"MEIS3",86.988286252738,-0.176614638445803,0.246165120480146,-0.717464107430473,0.473087775593249,0.768394150323547
"MRPL51",805.392927416231,0.0590921062753759,0.0823768933018128,0.717338368890339,0.47316533785967,0.768394150323547
"PIH1D2",33.2366225604709,-0.32966182312769,0.458752858672994,-0.718604400812415,0.472384701074735,0.768394150323547
"PXDN",14216.6946334725,0.0242418820950672,0.0337714550822523,0.71782166436195,0.472867253565877,0.768394150323547
"RBBP9",600.450696377779,-0.0687289011928287,0.0958514047091217,-0.717035930786815,0.47335192653213,0.768394150323547
"SC5D",1168.53532314579,0.0539231505119809,0.0751031221283965,0.717988133965906,0.472764603307698,0.768394150323547
"SEC22C",853.891433460435,0.0598149170834261,0.0834122006594011,0.71710033556925,0.473312188719833,0.768394150323547
"SLC35C1",1075.3361813639,0.0532724231487007,0.0742107711965552,0.717852978614155,0.472847943301777,0.768394150323547
"SRP9",1429.04717174027,0.0483407884460512,0.0674099443121443,0.717116575889862,0.473302168716228,0.768394150323547
"TAB2",2107.94019319326,0.0450220919723689,0.0627192869136827,0.717834882822097,0.472859102209983,0.768394150323547
"UBQLN1",3310.73295804481,-0.0347707440078499,0.0484525516657248,-0.717624620633688,0.472988772619072,0.768394150323547
"YEATS2-AS1",31.7645218032417,-0.289663199682097,0.403723143023844,-0.717479799430248,0.473078096418355,0.768394150323547
"ZFR",2797.21023746965,0.0398662700588995,0.0555883082367153,0.71717005470169,0.473269174017141,0.768394150323547
"ZNF234",217.216019753695,-0.111482853278516,0.155166939745034,-0.718470400084592,0.472467292501299,0.768394150323547
"CLIC6",83.3317380053975,0.178784162280807,0.249438844804015,0.716745470904013,0.473531163357269,0.768517811924931
"CNNM2",494.692691300631,-0.0750738006075847,0.104758461359717,-0.716637106283934,0.473598042496493,0.768517811924931
"DPM1",342.136768044519,-0.0917605918808251,0.12802433021376,-0.716743385633138,0.473532450270006,0.768517811924931
"TPM2",985.797897647843,-0.0745283129611172,0.10400604403671,-0.716576749470556,0.473635295022011,0.768517811924931
